productPK,reference,product,categoryFK
1,6252-verrerie,A-Verrerie,12
2,6251-ustensiles-bois,A-Ustensiles Bois,12
3,6245-plateau-peint,A-Plateau Peint,12
4,6210-napperon-rond,A-Napperon Rond,12
5,6209-napperon,A-Napperon,12
6,6200-bouteille,A-Bouteille,12
7,6199-service-de-table,A-Service De Table,12
8,6185-serviettes-a-the,A-Serviettes À Thé,12
9,6156-3-bowls,A-3 Bowls,12
10,6155-saladier,A-Saladier,12
11,6154-3-feuilles,A-3 Feuilles,12
12,6144-soupiere,A-Soupière,12
13,6138-plateau-circulaire,A-Plateau Circulaire,12
14,6038-mug-colore,A-Mug Coloré,12
15,6037-tagine,A-Tagine,12
16,2608-mortiers-bois,A-Mortiers Bois,12
17,6003-plateaux-et-bonbonniere,A-Plateaux Et Bonbonnière,12
18,6002-cuillere-avec-support,A-Cuillère Avec Support,12
19,6001-pack-3-planches,A-Pack 3 Planches,12
20,5955-plateau-resine,A-Plateau Résine,12
21,5954-presentoir,A-Présentoir,12
22,5953-sous-tasse-resine,A-Sous-Tasse Résine,12
23,5951-set-jonc,A-Set Jonc,12
24,5899-plat-apero,A-Plat Apero,12
25,5898-verre-a-pied,A-Verre À Pied,12
26,5866-set-cerise,A-Set Cerise,12
27,5859-linge-de-table,A-Linge De Table,12
28,5809-plateau,A-Plateau,12
29,5805-sous-tasse,A-Sous-Tasse,12
30,5785-corbeille-fruits,A-Corbeille Fruits,12
31,5784-lot-cuisine,A-Lot Cuisine,12
32,5783-lot-ustensiles,A-Lot Ustensiles,12
33,5759-service-a-the,A-Service À Thé,12
34,5758-plateau-cuivre,A-Plateau Cuivre,12
35,5744-carafe-peinte,A-Carafe Peinte,12
36,5725-sous-plat-halfa,A-Sous-Plat Halfa,12
37,5715-3-plateaux,A-3 Plateaux,12
38,5698-sous-plat,A-Sous-Plat,12
39,5697-plateau-fibre,A-Plateau Fibre,12
40,5676-chemin-de-table,A-Chemin De Table,12
41,5675-fonds-de-plateau,A-Fonds De Plateau,12
42,5674-cache-bouteille,A-Cache-Bouteille,12
43,5672-mug-fillette,A-Mug Fillette,12
44,5671-mug-chat,A-Mug Chat,12
45,5650-sous-tasses-peintes,A-Sous-Tasses Peintes,12
46,5556-plat-oval,A-Plat Oval,12
47,5555-coupelle,A-Coupelle,12
48,5526-sucriere-cuivre,A-Sucrière Cuivre,12
49,5525-service-a-eau,A-Service À Eau,12
50,5524-plateaux-cuivre,A-Plateaux Cuivre,12
51,5454-planche-ronde,A-Planche Ronde,12
52,5452-planche,A-Planche,12
53,5428-set-de-table,A-Set De Table,12
54,5427-plateau-multicolore,A-Plateau Multicolore,12
55,2609-plats-bois,A-Plats Bois,12
56,5407-sous-tasse-crochet,A-Sous-Tasse Crochet,12
57,5334-plateau-ceramique,A-Plateau Céramique,12
58,5333-plateau-carre,A-Plateau Carré,12
59,5320-ustensiles-cuisine,A-Ustensiles Cuisine,12
60,5300-plateau-ciment,A-Plateau Ciment,12
61,5299-trio-plateaux,A-Trio Plateaux,12
62,5293-jatte-turquoise,A-Jatte Turquoise,12
63,5291-plats-khomsa,A-Plats Khomsa,12
64,5287-spatule,A-Spatule,12
65,5281-porte-serviette,A-Porte-Serviette,12
66,5280-sous-tasse-bois,A-Sous-Tasse Bois,12
67,5276-plateaux-palmier,A-Plateaux Palmier,12
68,5269-corbeille-halfa,A-Corbeille Halfa,12
69,5141-mug,A-Mug,12
70,5138-carafe,A-Carafe,12
71,5074-bouteille-huile-d-olive,A-Bouteille Huile D'Olive,12
72,5073-assiette-creuse,A-Assiette Creuse,12
73,5072-assiette-dessert,A-Assiette Dessert,12
74,5022-set-coquelicot,A-Set Coquelicot,12
75,5020-coupelle-oiseau,A-Coupelle Oiseau,12
76,5007-verre-recycle,A-Verre Recyclé,12
77,4993-plateau-dentelle,A-Plateau Dentelle,12
78,4990-service-asymetrie,A-Service Asymétrie,12
79,4989-jattes-superposables,A-Jattes Superposables,12
80,4942-corbeille,A-Corbeille,12
81,4924-plateau-cuivre-martele,A-PLateau Cuivre Martelé,12
82,4922-sous-verre-cuir,A-Sous-Verre Cuir,12
83,4921-plateau-mosaique,A-Plateau Mosaïque,12
84,4907-set-apero,A-Set Apéro,12
85,4905-saladier-bois,A-Saladier Bois,12
86,4883-ronds-de-serviette,A-Ronds De Serviette,12
87,4882-sous-verre,A-Sous-Verre,12
88,4838-plat-sejnene,A-Plat Sejnene,12
89,4837-poele-sejnene,A-Poêle Sejnene,12
90,4836-corbeille-sejnene,A-Corbeille Sejnene,12
91,4820-assiette-rouge,A-Assiette Rouge,12
92,4804-sous-tasses-macrame,A-Sous-Tasses Macramé,12
93,4800-plateau-bois,A-Plateau Bois,12
94,4753-casserole,A-Casserole,12
95,4752-baril-a-huile,A-Baril À Huile,12
96,4737-plateau-rond,A-Plateau Rond,12
97,4724-set-de-table-brode,A-Set De Table Brodé,12
98,4689-tasse-sous-tasse,A-Tasse Sous-Tasse,12
99,4646-rouleau-a-patisserie,A-Rouleau À Pâtisserie,12
100,4603-plateau-vili,A-Plateau VILI,12
101,4602-planche-ve,A-Planche VE,12
102,4585-nappe-brodee,A-Nappe Brodée,12
103,4461-plat-rond,A-Plat Rond,12
104,4460-verre-a-the,A-Verre À Thé,12
105,4397-mortier,A-Mortier,12
106,4396-saladier-chrome,A-Saladier Chromé,12
107,4395-assiette-chemla,A-Assiette Chemla,12
108,4380-assiette-kesra,A-Assiette Kesra,12
109,4238-panier-fruits,A-Panier Fruits,12
110,4221-plateau-design,A-Plateau Design,12
111,4210-boite-a-chocolat,A-Boîte À Chocolat,12
112,4163-sous-plat-colore,A-Sous-Plat Coloré,12
113,4162-plat-multicolore,A-Plat Multicolore,12
114,4094-grande-assiette,A-Grande Assiette,12
115,4077-assiette-noire,A-Assiette Noire,12
116,4070-boite-halfa,A-Boîte Halfa,12
117,4069-plateau-halfa,A-Plateau Halfa,12
118,4067-coupelles-vert-d-eau,A-Coupelles Vert D'Eau,12
119,4065-tasse-a-cafe,A-Tasse À Café,12
120,4063-coupelles-rouges,A-Coupelles Rouges,12
121,4062-couscoussier,A-Couscoussier,12
122,4049-serveur-complet,A-Serveur Complet,12
123,3995-serie-3-plateaux,A-Série 3 Plateaux,12
124,3994-planche-bois-resine,A-Planche Bois Résine,12
125,3989-poterie-hadda,A-Poterie Hadda,12
126,3922-chemin-table,A-Chemin Table,12
127,3900-planchette,A-Planchette,12
128,3888-plats-main-de-fatma,A-Plats Main De Fatma,12
129,3887-bonbonniere,A-Bonbonnière,12
130,3886-verre-cuivre,A-Verre Cuivre,12
131,3861-coquetier,A-Coquetier,12
132,3860-support-bouteille,A-Support Bouteille,12
133,3859-serie-de-bols,A-Série De Bols,12
134,3850-grand-tebssi,A-Grand Tebssi,12
135,3849-kerwena,A-Kerwena,12
136,3827-plateau-en-acajou,A-Plateau En Acajou,12
137,3826-plateau-en-hetre,A-Plateau En Hêtre,12
138,3750-porte-sushis,A-Porte-Sushis,12
139,3749-coupelles-ceramique,A-Coupelles Céramique,12
140,3747-sous-plat-carreaux,A-Sous-Plat Carreaux,12
141,3737-verres,A-Verres,12
142,3736-plateaux-peints,A-Plateaux Peints,12
143,3728-sous-tasses-cuir,A-Sous-Tasses Cuir,12
144,3718-sous-plat-fibre,A-Sous-Plat Fibre,12
145,3709-poterie-assiette,A-Poterie Assiette,12
146,3691-ceramique-peinte,A-Céramique Peinte,12
147,3671-bol-calligraphie,A-Bol Calligraphié,12
148,3670-plat-poisson,A-Plat Poisson,12
149,3651-mug-fimo,A-Mug Fimo,12
150,3589-plateau-noir,A-Plateau Noir,12
151,3555-plateau-plexi,A-Plateau Plexi,12
